year,team_id,batting_players,batting_age,runs_per_game,g,pa,ab,r,h,d,t,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops_plus,tb,gdp,hbp,sh,sf,ibb,lob
1994,SEA,44,27.4,5.08,112,4361,3883,569,1045,211,18,153,549,48,21,372,652,.269,.335,.451,.786,100,1751,87,26,48,32,42,784
1994,SFG,36,28.4,4.38,115,4364,3869,504,963,159,32,123,472,114,40,364,719,.249,.318,.402,.720,92,1555,72,39,65,27,47,783
1994,STL,37,28.9,4.65,115,4450,3902,535,1026,213,27,108,506,76,46,434,686,.263,.339,.414,.753,97,1617,80,33,44,37,48,845
1994,TEX,41,27.5,5.38,114,4531,3983,613,1114,198,27,124,582,82,35,437,730,.280,.353,.436,.790,104,1738,95,36,41,34,37,863
1994,TOR,34,29.3,4.92,115,4462,3962,566,1064,210,30,115,534,79,26,387,691,.269,.336,.424,.760,95,1679,96,38,30,44,34,820
1995,ATL,40,27.9,4.48,144,5464,4814,645,1202,210,27,168,618,73,43,520,933,.250,.326,.409,.735,91,1970,106,40,56,34,37,988
1995,BAL,46,30.0,4.89,144,5531,4837,704,1267,229,27,173,668,92,45,574,803,.262,.342,.428,.770,98,2069,119,39,40,41,36,1022
1995,BOS,53,28.6,5.49,144,5716,4997,791,1399,286,31,175,754,99,44,560,923,.280,.357,.455,.812,108,2272,129,65,45,49,38,1084
1995,CAL,45,28.9,5.52,145,5690,5019,801,1390,252,25,186,761,58,39,564,889,.277,.352,.448,.800,108,2250,115,36,33,38,40,1056
1995,CHC,43,28.2,4.81,144,5543,4963,693,1315,267,39,158,648,105,37,440,953,.265,.327,.430,.757,101,2134,110,34,71,35,46,956
1995,CHW,46,29.5,5.21,145,5770,5060,755,1417,252,37,146,712,110,39,576,767,.280,.354,.431,.785,107,2181,106,32,46,56,54,1155
1995,CIN,47,28.4,5.19,144,5575,4903,747,1326,277,35,161,694,190,68,519,946,.270,.342,.440,.782,106,2156,92,40,62,50,42,1001
1995,CLE,41,29.1,5.83,144,5686,5028,840,1461,279,23,207,803,132,53,542,766,.291,.361,.479,.839,116,2407,128,35,31,48,40,1018
1995,COL,41,29.5,5.45,144,5647,4994,785,1406,259,43,200,749,125,59,484,943,.282,.350,.471,.820,94,2351,118,56,82,31,47,1017
1995,DET,45,28.7,4.54,144,5535,4865,654,1204,228,29,159,619,73,36,551,987,.247,.327,.404,.731,90,1967,121,41,35,43,30,1017
1995,FLA,46,28.1,4.71,143,5569,4886,673,1278,214,29,144,636,131,53,517,916,.262,.335,.406,.741,95,1982,105,49,69,48,36,1028
1995,HOU,44,28.1,5.19,144,5857,5097,747,1403,260,22,109,694,176,60,566,992,.275,.353,.399,.752,105,2034,114,69,78,47,58,1153
1995,KCR,51,29.0,4.37,144,5528,4903,629,1275,240,35,119,578,120,53,475,849,.260,.328,.396,.724,87,1942,105,43,66,39,33,1018
1995,LAD,49,27.3,4.40,144,5544,4942,634,1303,191,31,140,593,127,45,468,1023,.264,.329,.400,.729,99,1976,99,30,68,35,46,1049
1995,MIL,41,27.9,5.14,144,5631,5000,740,1329,249,42,128,700,105,40,502,800,.266,.336,.409,.745,89,2046,105,46,41,42,20,1012
1995,MIN,46,27.3,4.88,144,5588,5005,703,1398,270,34,120,662,105,57,471,916,.279,.346,.419,.765,98,2096,152,58,18,36,32,1025
1995,MON,45,26.2,4.31,144,5452,4905,621,1268,265,24,118,572,120,49,400,901,.259,.320,.394,.714,85,1935,107,56,58,32,43,970
1995,NYM,45,27.4,4.56,144,5581,4958,657,1323,218,34,125,617,58,39,446,994,.267,.330,.400,.730,95,1984,105,42,92,43,44,1041
1995,NYY,42,30.9,5.17,145,5699,4947,749,1365,280,34,122,709,50,30,625,851,.276,.357,.420,.778,103,2079,139,39,20,68,36,1126
1995,OAK,44,29.6,5.07,144,5617,4916,730,1296,228,18,169,694,112,46,565,911,.264,.341,.420,.762,106,2067,108,45,32,58,25,1049
1995,PHI,50,29.7,4.27,144,5613,4950,615,1296,263,30,94,576,72,25,497,884,.262,.332,.384,.716,90,1901,107,46,77,41,38,1114
1995,PIT,40,28.3,4.37,144,5501,4937,629,1281,245,27,125,587,84,55,456,972,.259,.323,.396,.719,88,1955,88,24,51,33,45,1010
1995,SDP,40,28.7,4.64,144,5527,4950,668,1345,231,20,116,618,124,46,447,872,.272,.334,.397,.731,95,1964,125,35,56,38,45,998
1995,SEA,46,28.7,5.49,145,5671,4996,796,1377,276,20,182,767,110,41,549,871,.276,.350,.448,.798,106,2239,109,39,52,34,53,1033
1995,SFG,46,28.7,4.53,144,5603,4971,652,1256,229,33,152,610,138,46,472,1060,.253,.323,.404,.727,95,2007,92,57,79,24,55,1046
1995,STL,46,28.6,3.94,143,5349,4779,563,1182,238,24,107,533,79,46,436,920,.247,.314,.374,.688,83,1789,110,46,48,40,31,957
1995,TEX,46,29.1,4.80,144,5566,4913,691,1304,247,24,138,651,90,47,526,877,.265,.338,.410,.747,92,2013,112,33,49,45,28,1031
1995,TOR,39,28.9,4.46,144,5650,5036,642,1309,275,27,140,613,75,16,492,906,.260,.328,.409,.737,92,2058,119,44,33,45,27,1079
1996,ATL,42,27.9,4.77,162,6293,5614,773,1514,264,28,197,735,83,43,530,1032,.270,.333,.432,.765,96,2425,144,27,69,50,41,1154
1996,BAL,45,31.1,5.82,163,6494,5689,949,1557,299,29,257,914,76,40,645,915,.274,.350,.472,.822,106,2685,134,61,31,67,49,1154
1996,BOS,55,28.4,5.73,162,6545,5756,928,1631,308,31,209,882,91,44,642,1020,.283,.359,.457,.816,104,2628,148,67,33,47,50,1251
1996,CAL,52,29.2,4.73,161,6320,5686,762,1571,256,24,192,727,53,39,527,974,.276,.339,.431,.770,95,2451,148,29,45,33,40,1209
1996,CHC,41,29.0,4.77,162,6229,5531,772,1388,267,19,175,725,108,50,523,1090,.251,.320,.401,.721,88,2218,126,61,66,48,48,1078
1996,CHW,44,30.4,5.54,162,6497,5644,898,1586,284,33,195,860,105,41,701,927,.281,.360,.447,.807,108,2521,139,34,56,62,68,1231
1996,CIN,48,29.3,4.80,162,6213,5455,778,1398,259,36,191,733,171,63,604,1134,.256,.331,.422,.753,98,2302,115,34,71,49,47,1116
1996,CLE,44,29.7,5.91,161,6486,5681,952,1665,335,23,218,904,160,50,671,844,.293,.369,.475,.844,113,2700,164,43,34,57,44,1224
1996,COL,44,30.1,5.93,162,6333,5590,961,1607,297,37,221,909,201,66,527,1108,.287,.355,.472,.827,99,2641,118,82,81,52,40,1108
1996,DET,53,27.0,4.83,162,6203,5530,783,1413,257,21,204,741,87,50,546,1268,.256,.323,.420,.743,87,2324,132,29,48,49,26,1040
1996,FLA,46,27.9,4.25,162,6194,5498,688,1413,240,30,150,650,99,46,553,1122,.257,.329,.393,.722,93,2163,138,55,41,45,51,1171
1996,HOU,43,28.2,4.65,162,6270,5508,753,1445,297,29,129,703,180,63,554,1057,.262,.336,.397,.733,100,2187,115,84,68,55,64,1172
1996,KCR,40,27.2,4.63,161,6229,5542,746,1477,286,38,123,689,195,85,529,943,.267,.332,.398,.731,85,2208,102,43,66,49,36,1117
1996,LAD,40,27.9,4.34,162,6185,5538,703,1396,215,33,150,661,124,40,516,1190,.252,.316,.384,.701,90,2127,112,22,74,35,59,1113
1996,MIL,48,27.8,5.52,162,6434,5662,894,1578,304,40,178,845,101,48,624,986,.279,.353,.441,.794,97,2496,115,53,45,50,35,1198
1996,MIN,38,28.4,5.41,162,6403,5673,877,1633,332,47,118,812,143,53,576,958,.288,.357,.425,.782,97,2413,172,65,20,63,42,1194
1996,MON,39,27.3,4.57,162,6171,5505,741,1441,297,27,148,696,108,34,492,1077,.262,.327,.406,.733,91,2236,119,58,79,36,49,1119
1996,NYM,40,27.2,4.60,162,6220,5618,746,1515,267,47,147,697,97,48,445,1069,.270,.324,.412,.737,98,2317,114,33,75,49,54,1124
1996,NYY,48,30.0,5.38,162,6414,5628,871,1621,293,28,162,830,96,46,632,909,.288,.360,.436,.796,100,2456,153,41,41,72,56,1258
1996,OAK,43,28.2,5.31,162,6402,5630,861,1492,283,21,243,823,58,35,640,1114,.265,.344,.452,.796,99,2546,134,58,35,39,36,1175
1996,PHI,54,28.3,4.01,162,6171,5499,650,1405,249,39,132,604,117,41,536,1092,.256,.325,.387,.712,88,2128,116,45,54,37,52,1207
1996,PIT,46,28.8,4.79,162,6336,5665,776,1509,319,33,138,738,126,49,510,989,.266,.329,.407,.736,91,2308,107,40,72,49,46,1181
1996,SDP,43,30.8,4.76,162,6419,5655,771,1499,285,24,147,718,109,55,601,1014,.265,.338,.402,.740,100,2273,146,50,59,52,62,1209
1996,SEA,49,28.6,6.17,161,6518,5668,993,1625,343,19,245,954,90,39,670,1052,.287,.366,.484,.850,114,2741,121,75,46,58,57,1238
1996,SFG,49,28.9,4.64,162,6316,5533,752,1400,245,21,153,707,113,53,615,1189,.253,.331,.388,.719,93,2146,108,48,77,43,62,1198
1996,STL,38,30.7,4.69,162,6177,5502,759,1468,281,31,142,711,149,58,495,1089,.267,.330,.407,.736,94,2237,121,44,88,48,59,1087
1996,TEX,39,29.5,5.69,163,6494,5702,928,1622,323,32,221,890,83,26,660,1041,.284,.358,.469,.827,103,2672,128,31,32,69,51,1253
1996,TOR,40,28.6,4.73,162,6295,5599,766,1451,302,35,177,712,116,38,529,1105,.259,.331,.420,.752,90,2354,120,92,38,37,19,1169
1997,ANA,43,29.6,5.12,162,6387,5628,829,1531,279,25,161,775,126,72,617,953,.272,.346,.416,.762,97,2343,129,45,40,57,37,1203
1997,ATL,38,27.9,4.88,162,6315,5528,791,1490,268,37,174,755,108,58,597,1160,.270,.343,.426,.769,99,2354,143,52,83,52,45,1177
1997,BAL,39,31.6,5.01,162,6340,5584,812,1498,264,22,196,780,63,26,586,952,.268,.341,.429,.770,103,2394,121,65,46,59,44,1198
1997,BOS,46,27.9,5.25,162,6430,5781,851,1684,373,32,185,810,68,48,514,1044,.291,.352,.463,.815,110,2676,155,59,21,55,54,1221
1997,CHC,42,29.4,4.24,162,6098,5489,687,1444,269,39,127,642,116,60,451,1003,.263,.321,.396,.717,85,2172,119,34,83,38,40,1093
1997,CHW,45,29.3,4.84,161,6201,5491,779,1498,260,28,158,740,106,52,569,901,.273,.341,.417,.758,101,2288,133,33,47,60,40,1148
1997,CIN,50,28.2,4.02,162,6153,5484,651,1386,269,27,142,612,190,67,518,1113,.253,.321,.389,.710,84,2135,104,45,75,30,35,1144
1997,CLE,46,30.2,5.39,161,6304,5556,868,1589,301,22,220,810,118,59,617,955,.286,.358,.467,.825,111,2594,152,37,45,49,39,1181
1997,COL,43,30.4,5.70,162,6338,5603,923,1611,269,40,239,869,137,65,562,1060,.288,.357,.478,.835,100,2677,138,63,73,35,35,1124
1997,DET,43,26.5,4.84,162,6190,5481,784,1415,268,32,176,743,161,72,578,1164,.258,.332,.415,.747,95,2275,120,49,34,47,37,1071
1997,FLA,43,28.5,4.57,162,6300,5439,740,1410,272,28,136,703,115,58,686,1074,.259,.346,.395,.741,98,2146,132,61,71,42,55,1248
1997,HOU,41,28.8,4.80,162,6363,5502,777,1427,314,40,133,720,171,74,633,1085,.259,.344,.403,.747,99,2220,104,100,74,53,63,1221
1997,KCR,51,28.7,4.64,161,6295,5599,747,1478,256,35,158,711,130,66,561,1061,.264,.333,.407,.740,92,2278,108,42,51,42,34,1176
1997,LAD,44,29.3,4.58,162,6216,5544,742,1488,242,33,174,706,131,64,498,1079,.268,.330,.418,.748,101,2318,109,33,105,36,46,1120
1997,MIL,44,28.1,4.23,161,6097,5444,681,1415,294,27,135,643,103,55,494,967,.260,.325,.398,.723,88,2168,123,58,48,52,31,1118
1997,MIN,39,29.2,4.77,162,6267,5634,772,1522,305,40,132,730,151,52,495,1121,.270,.333,.409,.741,93,2303,117,60,20,56,32,1156
1997,MON,41,27.7,4.27,162,6131,5526,691,1423,339,34,172,659,75,46,420,1084,.258,.316,.425,.741,93,2346,95,73,72,40,40,1091
1997,NYM,45,27.3,4.80,162,6248,5524,777,1448,274,28,153,741,97,74,550,1029,.262,.332,.405,.737,95,2237,122,57,58,59,45,1111
1997,NYY,41,30.5,5.50,162,6527,5710,891,1636,325,23,161,846,99,58,676,954,.287,.362,.436,.798,108,2490,138,37,34,70,51,1276
1997,OAK,49,28.1,4.72,162,6369,5589,764,1451,274,23,197,714,71,36,642,1181,.260,.339,.423,.762,101,2362,133,49,49,40,23,1221
1997,PHI,46,27.8,4.12,162,6130,5443,668,1390,290,35,116,622,92,56,519,1032,.255,.322,.385,.707,85,2098,105,40,74,50,32,1152
1997,PIT,43,26.6,4.48,162,6201,5503,725,1440,291,52,129,686,160,50,481,1161,.262,.329,.404,.733,89,2222,105,92,77,47,27,1168
1997,SDP,45,30.8,4.91,162,6373,5609,795,1519,275,16,152,761,140,60,604,1129,.271,.342,.407,.749,102,2282,130,35,63,58,40,1207
1997,SEA,47,29.3,5.71,162,6385,5614,925,1574,312,21,264,890,89,40,626,1110,.280,.355,.485,.839,119,2720,146,49,46,49,53,1149
1997,SFG,42,29.5,4.84,162,6296,5485,784,1415,266,37,172,746,121,49,642,1120,.258,.337,.414,.751,98,2271,111,46,64,59,72,1199
1997,STL,51,30.0,4.25,162,6212,5524,689,1409,269,39,144,654,164,60,543,1191,.255,.324,.396,.720,89,2188,128,42,58,44,54,1140
1997,TEX,44,28.4,4.98,162,6266,5651,807,1547,311,27,187,773,72,37,500,1116,.274,.334,.438,.771,96,2473,118,34,28,52,39,1149
1997,TOR,44,29.5,4.04,162,6109,5473,654,1333,275,41,147,627,134,50,487,1138,.244,.310,.389,.699,82,2131,102,59,38,52,26,1113
1998,ANA,45,28.7,4.86,162,6280,5630,787,1530,314,27,147,739,93,45,510,1028,.272,.335,.415,.751,93,2339,122,48,49,41,31,1180
1998,ARI,46,27.8,4.10,162,6116,5491,665,1353,235,46,159,621,73,38,489,1239,.246,.314,.393,.707,85,2157,125,64,45,27,32,1104
1998,ATL,42,28.9,5.10,162,6217,5484,826,1489,297,26,215,794,98,43,548,1062,.272,.342,.453,.795,107,2483,104,61,76,46,37,1148
1998,BAL,48,33.1,5.04,162,6304,5565,817,1520,303,11,214,783,86,48,593,903,.273,.347,.447,.794,107,2487,136,58,44,44,30,1187
1998,BOS,47,28.8,5.41,162,6302,5601,876,1568,338,35,205,827,72,39,541,1049,.280,.348,.463,.810,107,2591,144,70,35,52,32,1150
1998,CHC,47,30.1,5.10,163,6394,5649,831,1494,250,34,212,788,65,44,601,1223,.264,.337,.433,.771,99,2448,123,39,67,37,51,1162
1998,CHW,39,27.2,5.28,163,6281,5585,861,1516,291,38,198,806,127,46,551,916,.271,.339,.444,.782,105,2477,119,47,38,59,34,1104
1998,CIN,47,27.5,4.63,162,6269,5496,750,1441,298,28,138,723,95,42,608,1107,.262,.337,.402,.739,92,2209,133,37,78,49,39,1183
1998,CLE,48,29.5,5.25,162,6376,5616,850,1530,334,30,198,811,143,60,630,1061,.272,.347,.448,.795,103,2518,123,41,30,59,35,1169
1998,COL,42,29.5,5.10,162,6277,5632,826,1640,333,36,183,791,67,47,469,949,.291,.347,.461,.808,95,2594,148,37,98,41,29,1138
1998,DET,45,27.3,4.46,162,6243,5664,722,1494,306,29,165,691,122,62,455,1070,.264,.323,.415,.738,91,2353,111,62,16,45,25,1131
1998,FLA,49,25.4,4.12,162,6228,5558,667,1381,277,36,114,621,115,57,525,1120,.248,.317,.373,.690,86,2072,121,45,70,29,30,1132
1998,HOU,38,29.7,5.40,162,6441,5641,874,1578,326,28,166,818,155,51,621,1122,.280,.356,.436,.792,109,2458,146,72,58,49,52,1217
1998,KCR,51,28.8,4.43,161,6191,5546,714,1459,274,40,134,686,135,50,475,984,.263,.324,.399,.724,87,2215,118,60,45,65,24,1140
1998,LAD,53,28.2,4.13,162,6077,5459,669,1374,209,27,159,630,137,53,447,1056,.252,.310,.387,.698,87,2114,98,36,91,43,31,1069
1998,MIL,43,28.3,4.36,162,6232,5541,707,1439,266,17,152,673,81,59,532,1039,.260,.330,.396,.726,91,2195,135,66,61,32,36,1148
1998,MIN,38,29.8,4.53,162,6263,5641,734,1499,285,32,115,691,112,54,506,915,.266,.328,.389,.717,86,2193,155,45,18,52,33,1151
1998,MON,41,25.9,3.98,162,6042,5418,644,1348,280,32,147,602,91,46,439,1058,.249,.310,.394,.704,86,2133,109,60,87,37,31,1068
1998,NYM,49,28.9,4.36,162,6257,5510,706,1425,289,24,136,671,62,46,572,1049,.259,.330,.394,.724,91,2170,126,37,88,48,55,1193
1998,NYY,38,30.4,5.96,162,6444,5643,965,1625,290,31,207,907,153,63,653,1025,.288,.364,.460,.825,116,2598,145,57,32,59,34,1203
1998,OAK,45,29.0,4.96,162,6283,5490,804,1413,295,13,149,755,131,47,633,1122,.257,.338,.397,.735,94,2181,120,55,58,46,22,1159
1998,PHI,40,27.1,4.40,162,6300,5617,713,1482,286,36,126,672,97,45,508,1080,.264,.326,.395,.721,88,2218,110,45,65,65,44,1179
1998,PIT,38,26.7,3.99,163,6113,5493,650,1395,271,35,107,613,159,51,393,1060,.254,.311,.374,.686,79,2057,102,91,78,56,22,1089
1998,SDP,42,31.2,4.62,162,6245,5490,749,1390,292,30,167,715,79,37,604,1072,.253,.330,.409,.739,100,2243,112,48,56,45,40,1179
1998,SEA,47,29.8,5.34,161,6327,5628,859,1553,321,28,234,822,115,39,558,1081,.276,.345,.468,.812,110,2632,107,57,36,48,26,1189
1998,SFG,41,30.6,5.18,163,6484,5628,845,1540,292,26,161,800,102,51,678,1040,.274,.353,.421,.774,108,2367,123,44,81,53,53,1235
1998,STL,45,30.5,4.97,163,6413,5593,810,1444,292,30,223,781,133,41,676,1179,.258,.341,.441,.781,104,2465,117,42,68,34,65,1200
1998,TBD,42,28.9,3.83,162,6157,5555,620,1450,267,43,111,579,120,73,473,1107,.261,.321,.385,.706,83,2136,127,37,53,38,24,1155
1998,TEX,42,29.9,5.80,162,6401,5672,940,1637,314,32,201,894,82,47,595,1045,.289,.357,.462,.819,108,2618,137,39,41,54,27,1184
1998,TOR,41,29.0,5.01,163,6323,5580,816,1482,316,19,221,776,184,81,564,1132,.266,.340,.448,.787,104,2499,108,87,43,49,43,1133
1999,ANA,45,28.8,4.39,162,6132,5494,711,1404,248,22,158,673,71,45,511,1022,.256,.322,.395,.716,83,2170,135,43,41,42,24,1097
1999,ARI,43,30.0,5.60,162,6415,5658,908,1566,289,46,216,865,137,39,588,1045,.277,.347,.459,.805,101,2595,94,48,61,60,52,1169
1999,ATL,44,29.6,5.19,162,6351,5569,840,1481,309,23,197,791,148,66,608,962,.266,.341,.436,.777,96,2427,120,53,74,47,62,1155
1999,BAL,43,32.4,5.25,162,6409,5637,851,1572,299,21,203,804,107,46,615,890,.279,.353,.447,.800,108,2522,146,61,41,55,34,1241
1999,BOS,48,28.9,5.16,162,6321,5579,836,1551,334,42,176,808,67,39,597,928,.278,.350,.448,.798,99,2497,131,55,34,56,27,1213
1999,CHC,47,31.2,4.61,162,6201,5482,747,1411,255,35,189,717,60,44,571,1170,.257,.329,.420,.749,91,2303,120,39,65,44,38,1130
1999,CHW,40,25.8,4.80,162,6264,5644,777,1563,298,37,162,742,110,50,499,810,.277,.337,.429,.766,94,2421,138,34,40,45,22,1157
1999,CIN,35,28.3,5.31,163,6378,5649,865,1536,312,37,209,820,164,54,569,1125,.272,.341,.451,.792,96,2549,107,45,70,44,37,1168
1999,CLE,51,29.1,6.23,162,6554,5634,1009,1629,309,32,209,960,147,50,743,1099,.289,.373,.467,.840,111,2629,136,55,54,67,41,1234
1999,COL,44,29.7,5.59,162,6369,5717,906,1644,305,39,223,863,70,43,508,863,.288,.348,.472,.819,87,2696,125,43,54,46,31,1144
1999,DET,41,27.5,4.64,161,6096,5481,747,1433,289,34,212,704,108,70,458,1049,.261,.326,.443,.768,95,2426,108,82,35,39,19,1061
1999,FLA,44,25.2,4.27,162,6216,5578,691,1465,266,44,128,655,92,46,479,1145,.263,.325,.395,.719,87,2203,119,59,44,56,30,1159
1999,HOU,38,29.8,5.08,162,6403,5485,823,1463,293,23,168,784,166,75,728,1138,.267,.355,.420,.775,97,2306,127,52,79,58,57,1252
1999,KCR,50,27.0,5.32,161,6325,5624,856,1584,294,52,151,800,127,39,535,932,.282,.348,.433,.781,98,2435,156,64,46,56,25,1165
1999,LAD,43,29.2,4.90,162,6338,5567,793,1480,253,23,187,761,167,68,594,1030,.266,.339,.420,.760,96,2340,109,52,74,51,34,1173
1999,MIL,44,28.1,5.06,161,6433,5582,815,1524,299,30,165,777,81,33,658,1065,.273,.353,.426,.779,98,2378,110,55,87,51,44,1276
1999,MIN,37,26.8,4.26,161,6124,5495,686,1450,285,30,105,643,118,60,500,978,.264,.328,.384,.712,79,2110,151,49,24,56,28,1118
1999,MON,44,25.9,4.43,162,6151,5559,718,1473,320,47,163,680,70,51,438,939,.265,.323,.427,.751,91,2376,138,53,71,28,39,1094
1999,NYM,45,30.1,5.23,163,6454,5572,853,1553,297,14,181,814,150,61,717,994,.279,.363,.434,.797,104,2421,149,48,63,54,53,1267
1999,NYY,39,30.9,5.56,162,6416,5568,900,1568,302,36,193,855,104,57,718,978,.282,.366,.453,.819,110,2521,137,55,22,53,47,1244
1999,OAK,42,28.9,5.51,162,6442,5519,893,1430,287,20,235,845,70,37,770,1129,.259,.355,.446,.801,109,2462,129,71,39,41,32,1246
1999,PHI,41,28.2,5.19,162,6386,5598,841,1539,302,44,161,797,125,35,631,1081,.275,.351,.431,.782,94,2412,127,46,70,41,37,1221
1999,PIT,45,28.3,4.81,161,6234,5468,775,1417,282,40,171,735,112,44,573,1197,.259,.334,.419,.753,89,2292,111,60,87,45,40,1157
1999,SDP,41,29.7,4.38,162,6136,5394,710,1360,256,22,153,671,174,67,631,1169,.252,.332,.393,.725,90,2119,132,35,36,40,31,1139
1999,SEA,51,29.1,5.30,162,6310,5572,859,1499,263,21,244,825,130,45,610,1095,.269,.343,.455,.798,100,2536,114,42,38,48,38,1147
1999,SFG,35,30.2,5.38,162,6449,5563,872,1507,307,18,188,828,109,56,696,1028,.271,.356,.434,.790,104,2414,129,60,87,42,40,1230
1999,STL,42,28.6,5.02,161,6354,5570,809,1461,274,27,194,763,134,48,613,1202,.262,.338,.426,.764,92,2371,110,51,75,44,51,1188
1999,TBD,46,30.0,4.77,162,6272,5586,772,1531,272,29,145,728,73,49,544,1042,.274,.343,.411,.754,92,2296,157,64,30,48,24,1169
1999,TEX,38,30.6,5.83,162,6389,5651,945,1653,304,29,230,897,111,54,611,937,.293,.361,.479,.840,109,2705,147,29,35,62,41,1176
1999,TOR,53,28.3,5.45,162,6370,5642,883,1580,337,14,212,856,119,48,578,1077,.280,.352,.457,.810,105,2581,129,76,28,45,29,1177
2000,ANA,45,27.7,5.33,162,6373,5628,864,1574,309,34,236,837,93,52,608,1024,.280,.352,.472,.825,105,2659,126,47,47,43,43,1173
2000,ARI,41,30.8,4.89,162,6241,5527,792,1466,282,44,179,756,97,44,535,975,.265,.333,.429,.763,88,2373,114,59,61,58,37,1128
2000,ATL,47,30.8,5.00,162,6275,5489,810,1490,274,26,179,758,148,56,595,1010,.271,.346,.429,.775,95,2353,127,59,87,45,38,1192
2000,BAL,50,32.0,4.90,162,6238,5549,794,1508,310,22,184,750,126,65,558,900,.272,.341,.435,.776,100,2414,148,49,27,54,34,1129
2000,BOS,52,29.4,4.89,162,6371,5630,792,1503,316,32,167,755,43,30,611,1019,.267,.341,.423,.764,90,2384,115,42,40,48,40,1226
2000,CHC,51,30.7,4.72,162,6397,5577,764,1426,272,23,183,722,93,37,632,1120,.256,.335,.411,.746,90,2293,114,54,89,45,50,1215
2000,CHW,42,27.5,6.04,162,6410,5646,978,1615,325,33,216,926,119,42,591,960,.286,.356,.470,.826,106,2654,140,53,55,61,28,1127
2000,CIN,45,29.2,5.06,163,6373,5635,825,1545,302,36,200,794,100,38,559,995,.274,.343,.447,.790,96,2519,137,64,56,58,60,1189
2000,CLE,55,30.1,5.86,162,6512,5683,950,1639,310,30,221,889,113,34,685,1057,.288,.367,.470,.837,110,2672,134,51,41,52,27,1260
2000,COL,49,29.2,5.98,162,6453,5660,968,1664,320,53,161,905,131,61,601,907,.294,.362,.455,.816,87,2573,126,42,75,75,64,1198
2000,DET,45,29.0,5.08,162,6343,5644,823,1553,307,41,177,785,83,38,562,982,.275,.343,.438,.781,102,2473,142,43,42,49,22,1185
2000,FLA,40,26.2,4.54,161,6203,5509,731,1441,274,29,160,691,168,55,540,1184,.262,.331,.409,.740,91,2253,100,60,42,51,39,1168
2000,HOU,46,29.1,5.79,162,6444,5570,938,1547,289,36,249,900,114,52,673,1129,.278,.361,.477,.837,104,2655,154,83,57,61,57,1171
2000,KCR,44,27.5,5.43,162,6394,5709,879,1644,281,27,150,831,121,35,511,840,.288,.348,.425,.773,93,2429,139,48,56,70,28,1184
2000,LAD,46,29.6,4.93,162,6312,5481,798,1408,265,28,211,756,95,42,668,1083,.257,.341,.431,.771,99,2362,129,51,66,46,42,1188
2000,MIL,46,28.9,4.54,163,6355,5563,740,1366,297,25,177,708,72,44,620,1245,.246,.325,.403,.729,85,2244,126,61,61,49,47,1183
2000,MIN,41,26.5,4.62,162,6283,5615,748,1516,325,49,116,711,90,45,556,1021,.270,.337,.407,.744,85,2287,143,35,24,51,31,1198
2000,MON,49,26.2,4.56,162,6153,5535,738,1475,310,35,178,705,58,48,476,1048,.266,.326,.432,.758,87,2389,111,29,78,34,53,1100
2000,NYM,47,30.4,4.98,162,6328,5486,807,1445,281,20,198,761,66,46,675,1037,.263,.346,.430,.776,98,2360,122,45,70,51,42,1214
2000,NYY,46,31.3,5.41,161,6311,5556,871,1541,294,25,205,833,99,48,631,1007,.277,.354,.450,.804,103,2500,134,57,16,50,42,1189
2000,OAK,44,27.5,5.88,161,6432,5560,947,1501,281,23,239,908,40,15,750,1159,.270,.360,.458,.817,109,2545,147,52,26,44,32,1210
2000,PHI,51,28.6,4.37,162,6273,5511,708,1386,304,40,144,668,102,30,611,1117,.251,.329,.400,.729,83,2202,115,44,70,37,40,1209
2000,PIT,46,28.3,4.90,162,6369,5643,793,1506,320,31,168,749,86,40,564,1032,.267,.339,.424,.762,92,2392,133,66,59,37,41,1202
2000,SDP,56,28.6,4.64,162,6291,5560,752,1413,279,37,157,714,131,53,602,1177,.254,.330,.402,.732,91,2237,123,46,39,43,50,1155
2000,SEA,37,31.2,5.60,162,6444,5497,907,1481,300,26,198,869,122,56,775,1073,.269,.361,.442,.803,108,2427,129,48,63,61,34,1247
2000,SFG,36,29.9,5.71,162,6418,5519,925,1535,304,44,226,889,79,39,709,1032,.278,.362,.472,.834,115,2605,131,51,73,66,60,1213
2000,STL,46,29.6,5.48,162,6369,5478,887,1481,259,25,235,841,87,51,675,1253,.270,.356,.455,.812,103,2495,116,84,79,53,33,1214
2000,TBD,51,30.1,4.55,161,6206,5505,733,1414,253,22,162,692,90,46,558,1022,.257,.329,.399,.728,85,2197,126,51,52,40,25,1140
2000,TEX,42,29.4,5.23,162,6364,5648,848,1601,330,35,173,806,69,47,580,922,.283,.352,.446,.798,100,2520,161,39,48,48,39,1198
2000,TOR,45,28.2,5.31,162,6326,5677,861,1562,328,21,244,826,89,34,526,1026,.275,.341,.469,.810,101,2664,130,60,29,34,32,1152
2001,ANA,38,28.1,4.27,162,6226,5551,691,1447,275,26,158,662,116,52,494,1001,.261,.327,.405,.732,91,2248,109,77,46,53,34,1203
2001,ARI,47,31.9,5.05,162,6349,5595,818,1494,284,35,208,776,71,38,587,1052,.267,.341,.442,.783,94,2472,105,57,71,36,73,1183
